ngram,doc_freq,doc_freq_ratio
"('NOUN', 'compound', 'NOUN', 'amod', 'ADJ')",884,0.0442
"('ADP', 'pobj', 'NOUN', 'relcl', 'VERB', 'prep', 'ADP')",867,0.04335
"('VERB', 'npadvmod', 'NOUN', 'det', 'DET')",866,0.0433
"('AUX', 'nsubj', 'NOUN', 'amod', 'ADJ')",864,0.0432
"('NOUN', 'conj', 'NOUN', 'prep', 'ADP', 'pobj', 'NOUN')",862,0.0431
"('NOUN', 'appos', 'PROPN')",861,0.04305
"('ADP', 'pobj', 'PROPN', 'punct', 'PUNCT')",854,0.0427
"('AUX', 'acomp', 'ADJ', 'prep', 'ADP', 'pobj', 'NOUN')",848,0.0424
"('VERB', 'ccomp', 'VERB', 'nsubj', 'NOUN', 'det', 'DET')",845,0.04225
"('VERB', 'dobj', 'NOUN', 'acl', 'VERB')",844,0.0422
"('NOUN', 'acl', 'VERB', 'dobj', 'NOUN', 'det', 'DET')",843,0.04215
"('ADP', 'pobj', 'NOUN', 'conj', 'NOUN', 'det', 'DET')",843,0.04215
"('NOUN', 'nmod', 'NOUN')",840,0.042
"('VERB', 'advmod', 'ADV', 'prep', 'ADP')",837,0.04185
"('VERB', 'intj', 'INTJ')",829,0.04145
"('VERB', 'prep', 'ADP', 'pobj', 'NOUN', 'amod', 'VERB')",825,0.04125
"('PROPN', 'conj', 'PROPN')",825,0.04125
"('VERB', 'nsubj', 'PROPN', 'det', 'DET')",821,0.04105
"('VERB', 'conj', 'VERB', 'ccomp', 'VERB')",818,0.0409
"('VERB', 'prep', 'SCONJ')",813,0.04065
"('VERB', 'attr', 'NOUN', 'amod', 'ADJ')",809,0.04045
"('NOUN', 'conj', 'NOUN', 'cc', 'CCONJ')",808,0.0404
"('ADP', 'pcomp', 'VERB', 'prep', 'ADP')",808,0.0404
"('NOUN', 'conj', 'NOUN', 'compound', 'NOUN')",806,0.0403
"('NOUN', 'prep', 'ADP', 'pobj', 'NOUN', 'acl', 'VERB')",803,0.04015
"('PRON', 'prep', 'ADP')",802,0.0401
"('NOUN', 'amod', 'VERB', 'punct', 'PUNCT')",801,0.04005
"('VERB', 'xcomp', 'VERB', 'dobj', 'PRON')",794,0.0397
"('NOUN', 'poss', 'NOUN', 'det', 'DET')",792,0.0396
"('NOUN', 'prep', 'ADP', 'pobj', 'PROPN', 'det', 'DET')",792,0.0396
"('NOUN', 'conj', 'NOUN', 'conj', 'NOUN')",791,0.03955
"('VERB', 'advcl', 'VERB', 'conj', 'VERB')",791,0.03955
"('ADJ', 'xcomp', 'VERB')",789,0.03945
"('VERB', 'conj', 'VERB', 'xcomp', 'VERB')",788,0.0394
"('VERB', 'npadvmod', 'PROPN')",788,0.0394
"('NOUN', 'predet', 'DET')",783,0.03915
"('NOUN', 'relcl', 'VERB', 'advmod', 'ADV')",782,0.0391
"('VERB', 'conj', 'AUX', 'punct', 'PUNCT')",781,0.03905
"('VERB', 'ccomp', 'VERB', 'advcl', 'VERB')",777,0.03885
"('VERB', 'ccomp', 'VERB', 'nsubj', 'PROPN')",772,0.0386
"('ADV', 'prep', 'ADP', 'pobj', 'NOUN')",771,0.03855
"('NOUN', 'appos', 'NOUN', 'det', 'DET')",768,0.0384
"('NOUN', 'relcl', 'VERB', 'dobj', 'PRON')",767,0.03835
"('VERB', 'dobj', 'NOUN', 'relcl', 'VERB', 'nsubj', 'PRON')",766,0.0383
"('ADP', 'pobj', 'NUM')",766,0.0383
"('VERB', 'attr', 'NOUN', 'prep', 'ADP', 'pobj', 'NOUN')",757,0.03785
"('VERB', 'prep', 'ADP', 'prep', 'ADP')",757,0.03785
"('ADP', 'pobj', 'NOUN', 'compound', 'PROPN')",752,0.0376
"('VERB', 'nsubj', 'PROPN', 'punct', 'PUNCT')",751,0.03755
"('AUX', 'nsubj', 'NOUN', 'prep', 'ADP')",749,0.03745
"('ADJ', 'xcomp', 'VERB', 'aux', 'PART')",749,0.03745
"('VERB', 'ccomp', 'VERB', 'neg', 'PART')",748,0.0374
"('VERB', 'conj', 'VERB', 'prt', 'ADP')",741,0.03705
"('VERB', 'dobj', 'NOUN', 'amod', 'VERB')",737,0.03685
"('NUM', 'prep', 'ADP')",731,0.03655
"('VERB', 'ccomp', 'VERB', 'ccomp', 'VERB')",723,0.03615
"('VERB', 'xcomp', 'AUX')",722,0.0361
"('VERB', 'ccomp', 'AUX', 'nsubj', 'NOUN')",714,0.0357
"('AUX', 'prep', 'ADP', 'pobj', 'NOUN', 'prep', 'ADP')",713,0.03565
"('VERB', 'conj', 'NOUN')",712,0.0356
"('VERB', 'ccomp', 'AUX', 'mark', 'SCONJ')",712,0.0356
"('VERB', 'prep', 'ADP', 'pobj', 'PROPN', 'compound', 'PROPN')",706,0.0353
"('AUX', 'nsubj', 'NOUN', 'poss', 'PRON')",703,0.03515
"('NOUN', 'prep', 'ADP', 'pobj', 'NOUN', 'relcl', 'VERB')",702,0.0351
"('VERB', 'agent', 'ADP', 'pobj', 'NOUN', 'det', 'DET')",700,0.035
"('ADP', 'pobj', 'NOUN', 'relcl', 'VERB', 'aux', 'AUX')",698,0.0349
"('ADJ', 'amod', 'ADJ')",698,0.0349
"('VERB', 'conj', 'VERB', 'dobj', 'NOUN', 'prep', 'ADP')",696,0.0348
"('VERB', 'prep', 'ADP', 'pobj', 'NOUN', 'nummod', 'NUM')",695,0.03475
"('VERB', 'xcomp', 'AUX', 'aux', 'PART')",692,0.0346
"('AUX', 'advcl', 'VERB', 'mark', 'SCONJ')",690,0.0345
"('VERB', 'nsubjpass', 'NOUN', 'amod', 'ADJ')",689,0.03445
"('VERB', 'ccomp', 'VERB', 'auxpass', 'AUX')",685,0.03425
"('VERB', 'advcl', 'AUX', 'mark', 'SCONJ')",684,0.0342
"('VERB', 'advcl', 'VERB', 'nsubj', 'NOUN', 'det', 'DET')",683,0.03415
"('SCONJ', 'pobj', 'NOUN')",679,0.03395
"('NOUN', 'prep', 'ADP', 'pobj', 'NOUN', 'amod', 'VERB')",674,0.0337
"('NOUN', 'amod', 'ADJ', 'punct', 'PUNCT')",670,0.0335
"('VERB', 'conj', 'VERB', 'dobj', 'NOUN', 'poss', 'PRON')",662,0.0331
"('VERB', 'conj', 'VERB', 'nsubj', 'NOUN', 'det', 'DET')",659,0.03295
"('VERB', 'ccomp', 'VERB', 'conj', 'VERB')",657,0.03285
"('VERB', 'advcl', 'VERB', 'dobj', 'NOUN', 'prep', 'ADP')",655,0.03275
"('VERB', 'conj', 'VERB', 'xcomp', 'VERB', 'aux', 'PART')",650,0.0325
"('NOUN', 'prep', 'ADP', 'pcomp', 'VERB')",648,0.0324
"('NOUN', 'acl', 'VERB', 'agent', 'ADP')",641,0.03205
"('VERB', 'dobj', 'ADJ')",636,0.0318
"('VERB', 'dobj', 'PROPN', 'compound', 'PROPN')",630,0.0315
"('VERB', 'ccomp', 'AUX', 'attr', 'NOUN', 'det', 'DET')",630,0.0315
"('VERB', 'nsubj', 'NOUN', 'cc', 'CCONJ')",629,0.03145
"('VERB', 'nsubjpass', 'NOUN', 'prep', 'ADP')",628,0.0314
"('VERB', 'dobj', 'NOUN', 'nummod', 'NUM')",626,0.0313
"('VERB', 'dative', 'PRON')",626,0.0313
"('VERB', 'advmod', 'ADJ')",624,0.0312
"('PROPN', 'appos', 'NOUN')",623,0.03115
"('NOUN', 'compound', 'NOUN', 'compound', 'NOUN')",621,0.03105
"('ADP', 'pobj', 'NOUN', 'poss', 'PROPN')",621,0.03105
"('VERB', 'prep', 'ADP', 'advmod', 'ADV')",620,0.031
"('AUX', 'prep', 'ADP', 'pobj', 'NOUN', 'amod', 'ADJ')",619,0.03095
"('NOUN', 'relcl', 'VERB', 'dobj', 'NOUN', 'det', 'DET')",618,0.0309
"('VERB', 'conj', 'VERB', 'auxpass', 'AUX')",617,0.03085
"('VERB', 'prep', 'ADP', 'pobj', 'PROPN', 'det', 'DET')",617,0.03085
"('ADP', 'pobj', 'NOUN', 'poss', 'NOUN')",612,0.0306
"('ADP', 'pobj', 'NOUN', 'poss', 'PROPN', 'case', 'PART')",612,0.0306
"('AUX', 'conj', 'VERB', 'nsubj', 'PRON')",607,0.03035
