ngram,doc_freq,doc_freq_ratio
"('VERB', 'NOUN', 'ADP')",2208,0.1104
"('PUNCT', 'PUNCT', 'PRON', 'VERB')",2194,0.1097
"('AUX', 'PRON')",2181,0.10905
"('NOUN', 'PRON', 'VERB')",2177,0.10885
"('PUNCT', 'ADJ', 'NOUN')",2159,0.10795
"('DET', 'NOUN', 'PUNCT', 'PRON')",2158,0.1079
"('PUNCT', 'SCONJ', 'PRON')",2157,0.10785
"('ADP', 'DET', 'NOUN', 'NOUN')",2152,0.1076
"('ADV', 'ADP', 'DET')",2145,0.10725
"('DET', 'NOUN', 'AUX', 'VERB')",2121,0.10605
"('NOUN', 'PUNCT', 'ADV')",2093,0.10465
"('PROPN', 'PART')",2075,0.10375
"('CCONJ', 'ADJ', 'NOUN')",2071,0.10355
"('ADV', 'PRON')",2045,0.10225
"('PROPN', 'ADP')",2031,0.10155
"('VERB', 'ADV', 'PUNCT')",2020,0.101
"('ADJ', 'NOUN', 'AUX')",2012,0.1006
"('PUNCT', 'PROPN', 'PUNCT')",2011,0.10055
"('PROPN', 'PUNCT', 'PUNCT')",2002,0.1001
"('NOUN', 'PUNCT', 'PROPN')",1985,0.09925
"('ADP', 'PUNCT')",1985,0.09925
"('PUNCT', 'VERB', 'DET')",1982,0.0991
"('PART', 'VERB', 'DET')",1982,0.0991
"('PUNCT', 'CCONJ', 'DET')",1979,0.09895
"('NOUN', 'CCONJ', 'DET')",1978,0.0989
"('VERB', 'ADJ', 'NOUN')",1967,0.09835
"('ADP', 'PROPN', 'PUNCT')",1967,0.09835
"('ADP', 'DET', 'PROPN')",1964,0.0982
"('PUNCT', 'ADP', 'DET', 'NOUN')",1959,0.09795
"('PART', 'AUX')",1947,0.09735
"('NOUN', 'CCONJ', 'VERB')",1947,0.09735
"('PRON', 'NOUN', 'ADP')",1944,0.0972
"('PROPN', 'NOUN')",1942,0.0971
"('PUNCT', 'PUNCT', 'VERB')",1939,0.09695
"('PRON', 'AUX', 'PART', 'VERB')",1938,0.0969
"('ADP', 'VERB')",1916,0.0958
