ngram,doc_freq,doc_freq_ratio
"('conj', 'advcl', 'mark')",832,0.0416
"('dobj', 'appos')",823,0.04115
"('dobj', 'prep', 'pobj', 'compound')",814,0.0407
"('pobj', 'amod', 'advmod')",812,0.0406
"('ccomp', 'advcl', 'nsubj')",811,0.04055
"('ccomp', 'nsubjpass')",809,0.04045
"('dobj', 'prep', 'pobj', 'poss')",805,0.04025
"('ccomp', 'auxpass')",803,0.04015
"('advcl', 'advcl')",800,0.04
"('ccomp', 'xcomp', 'aux')",797,0.03985
"('relcl', 'dobj', 'det')",794,0.0397
"('agent', 'pobj', 'det')",789,0.03945
"('conj', 'conj', 'prep')",783,0.03915
"('pobj', 'prep', 'pobj', 'punct')",782,0.0391
"('prep', 'pobj', 'amod', 'advmod')",780,0.039
"('nsubjpass', 'amod')",779,0.03895
"('advcl', 'dobj', 'poss')",778,0.0389
"('pobj', 'relcl', 'advmod')",778,0.0389
"('conj', 'neg')",777,0.03885
"('acl', 'prep', 'pobj', 'amod')",773,0.03865
"('nsubj', 'acl')",772,0.0386
"('pobj', 'prep', 'pobj', 'cc')",772,0.0386
"('prep', 'pobj', 'relcl', 'advmod')",744,0.0372
"('conj', 'conj', 'prep', 'pobj')",741,0.03705
"('npadvmod', 'amod')",739,0.03695
"('nsubj', 'relcl')",737,0.03685
"('advcl', 'xcomp')",731,0.03655
"('amod', 'npadvmod')",726,0.0363
"('ccomp', 'nsubj', 'poss')",723,0.03615
"('dobj', 'relcl', 'aux')",714,0.0357
"('conj', 'advcl', 'dobj')",712,0.0356
"('nsubjpass', 'prep')",711,0.03555
"('dobj', 'nummod')",711,0.03555
"('ccomp', 'dobj', 'amod')",708,0.0354
"('pobj', 'amod', 'punct')",702,0.0351
"('advcl', 'prep', 'pobj', 'poss')",701,0.03505
"('conj', 'auxpass')",698,0.0349
"('parataxis',)",698,0.0349
"('nsubjpass', 'prep', 'pobj')",695,0.03475
"('attr', 'compound')",692,0.0346
"('acl', 'agent')",687,0.03435
"('ccomp', 'advcl', 'mark')",687,0.03435
"('attr', 'prep', 'pobj', 'amod')",686,0.0343
"('ccomp', 'prep', 'pobj', 'amod')",686,0.0343
"('ccomp', 'nsubj', 'amod')",682,0.0341
"('conj', 'conj', 'punct')",682,0.0341
"('acl', 'agent', 'pobj')",671,0.03355
"('prep', 'pobj', 'amod', 'punct')",667,0.03335
"('conj', 'attr')",664,0.0332
"('nsubj', 'relcl', 'nsubj')",662,0.0331
"('acl', 'aux')",651,0.03255
"('acomp', 'xcomp')",650,0.0325
"('compound', 'punct')",642,0.0321
"('dobj', 'conj', 'amod')",641,0.03205
"('parataxis', 'nsubj')",640,0.032
"('pobj', 'amod', 'conj')",639,0.03195
"('advcl', 'xcomp', 'aux')",639,0.03195
"('dobj', 'relcl', 'prep')",633,0.03165
"('conj', 'prep', 'pobj', 'compound')",632,0.0316
"('dobj', 'conj', 'det')",630,0.0315
"('attr', 'relcl', 'nsubj')",628,0.0314
"('ccomp', 'dobj', 'prep')",628,0.0314
"('advcl', 'prt')",627,0.03135
"('conj', 'conj', 'dobj')",624,0.0312
"('pobj', 'amod', 'cc')",622,0.0311
"('pobj', 'acl', 'dobj')",621,0.03105
"('acomp', 'xcomp', 'aux')",621,0.03105
"('dobj', 'prep', 'pobj', 'prep')",620,0.031
"('amod', 'amod')",619,0.03095
"('prep', 'pobj', 'amod', 'conj')",618,0.0309
"('nsubj', 'poss', 'case')",618,0.0309
"('conj', 'advcl', 'prep')",615,0.03075
"('pobj', 'compound', 'compound')",609,0.03045
"('advcl', 'acomp')",602,0.0301
"('prep', 'pobj', 'amod', 'cc')",600,0.03
"('relcl', 'auxpass')",600,0.03
"('acl', 'dobj', 'amod')",598,0.0299
"('dobj', 'relcl', 'dobj')",598,0.0299
"('prep', 'pobj', 'acl', 'dobj')",595,0.02975
"('relcl', 'nsubjpass')",595,0.02975
"('agent', 'pobj', 'amod')",594,0.0297
"('acomp', 'prep', 'pobj', 'det')",594,0.0297
"('ccomp', 'dobj', 'prep', 'pobj')",589,0.02945
"('pobj', 'nmod')",583,0.02915
"('dobj', 'relcl', 'prep', 'pobj')",583,0.02915
"('nsubj', 'prep', 'pobj', 'compound')",581,0.02905
"('advmod', 'prep', 'pobj', 'det')",581,0.02905
"('attr', 'conj')",576,0.0288
"('appos', 'conj')",575,0.02875
"('prep', 'pobj', 'compound', 'compound')",570,0.0285
"('conj', 'advcl', 'prep', 'pobj')",570,0.0285
"('advcl', 'nsubjpass')",569,0.02845
"('parataxis', 'punct')",569,0.02845
"('advcl', 'auxpass')",565,0.02825
"('ccomp', 'prep', 'pobj', 'prep')",561,0.02805
"('prep', 'pobj', 'nmod')",557,0.02785
"('acomp', 'conj')",554,0.0277
"('npadvmod', 'nummod')",552,0.0276
"('conj', 'poss')",549,0.02745
"('xcomp', 'punct')",547,0.02735
"('acl', 'advmod')",547,0.02735
"('ccomp', 'npadvmod')",547,0.02735
"('dobj', 'poss', 'case')",543,0.02715
"('ccomp', 'nsubj', 'compound')",542,0.0271
"('acomp', 'cc')",540,0.027
"('ccomp', 'attr', 'amod')",540,0.027
"('attr', 'cc')",537,0.02685
"('pobj', 'poss', 'det')",536,0.0268
"('conj', 'advcl', 'aux')",535,0.02675
"('conj', 'advcl', 'advmod')",530,0.0265
"('prep', 'prep', 'pobj', 'det')",529,0.02645
"('pobj', 'conj', 'punct')",528,0.0264
"('amod', 'prep')",527,0.02635
"('pobj', 'conj', 'conj')",524,0.0262
"('relcl', 'punct')",524,0.0262
"('pcomp', 'dobj', 'det')",522,0.0261
"('xcomp', 'dobj', 'amod')",522,0.0261
"('pobj', 'conj', 'compound')",517,0.02585
"('conj', 'xcomp', 'dobj')",517,0.02585
"('prep', 'pobj', 'poss', 'det')",510,0.0255
"('prep', 'pcomp', 'dobj', 'det')",507,0.02535
"('dobj', 'amod', 'advmod')",507,0.02535
"('acl', 'prep', 'pobj', 'prep')",506,0.0253
"('dobj', 'prep', 'pobj', 'conj')",505,0.02525
"('ccomp', 'advcl', 'dobj')",503,0.02515
"('quantmod',)",501,0.02505
"('relcl', 'xcomp')",500,0.025
"('appos', 'cc')",499,0.02495
"('relcl', 'cc')",496,0.0248
"('amod', 'prep', 'pobj')",496,0.0248
