ngram,doc_freq,doc_freq_ratio,doc_freq_diff
"d,",4406,0.2203,0.2797
res,4383,0.21915,0.28085
for ,4383,0.21915,0.28085
 ho,4381,0.21905,0.28095000000000003
you,4379,0.21895,0.28105
na,4374,0.2187,0.2813
the ,15627,0.78135,0.28135
 whi,4371,0.21855,0.28145
rea,4368,0.2184,0.28159999999999996
cl,4367,0.21835,0.28165
se ,4362,0.2181,0.28190000000000004
ey,4358,0.2179,0.2821
d w,4344,0.2172,0.2828
e d,4338,0.2169,0.2831
ab,4326,0.2163,0.2837
here,4326,0.2163,0.2837
 pa,4319,0.21595,0.28405
ng,15690,0.7845,0.2845
 di,4304,0.2152,0.2848
 si,4275,0.21375,0.28625
iv,4273,0.21365,0.28635
 his ,4269,0.21345,0.28654999999999997
r ,15735,0.78675,0.28674999999999995
sp,4264,0.2132,0.2868
"d, ",4261,0.21305,0.28695000000000004
od,4260,0.213,0.28700000000000003
 for ,4258,0.2129,0.2871
d.,4242,0.2121,0.2879
g a,4238,0.2119,0.2881
not,4238,0.2119,0.2881
 gr,4234,0.2117,0.2883
ight,4229,0.21145,0.28855
 yo,4226,0.2113,0.2887
fa,4205,0.21025,0.28975
ain,4193,0.20965,0.29035
o t,4187,0.20935,0.29064999999999996
", t",4185,0.20925,0.29075
go,4177,0.20885,0.29115
ch ,4155,0.20775,0.29225
if,4151,0.20755,0.29245
ave,4140,0.207,0.29300000000000004
ng a,4139,0.20695,0.29305000000000003
t h,4138,0.2069,0.2931
h a,4136,0.2068,0.2932
tin,4134,0.2067,0.2933
r a,4130,0.2065,0.2935
 you,4127,0.20635,0.29364999999999997
t the,4124,0.2062,0.2938
on,15877,0.79385,0.29384999999999994
eve,4117,0.20585,0.29415
g t,4108,0.2054,0.2946
 pr,4100,0.205,0.29500000000000004
 i ,4093,0.20465,0.29535
ts ,4090,0.2045,0.2955
"t,",4084,0.2042,0.2958
he c,4071,0.20355,0.29645
t.,4067,0.20335,0.29664999999999997
ug,4061,0.20305,0.29695
ng t,4060,0.203,0.297
te ,4058,0.2029,0.29710000000000003
da,4047,0.20235,0.29764999999999997
and t,4041,0.20205,0.29795
ov,4023,0.20115,0.29885
he w,4018,0.2009,0.29910000000000003
ga,4016,0.2008,0.2992
ki,4013,0.20065,0.29935
ack,4006,0.2003,0.29969999999999997
. t,4004,0.2002,0.2998
d o,3996,0.1998,0.3002
nce,3996,0.1998,0.3002
n a ,3990,0.1995,0.3005
al ,3983,0.19915,0.30085
ot ,3962,0.1981,0.3019
n i,3955,0.19775,0.30225
 la,3950,0.1975,0.3025
e of,3950,0.1975,0.3025
", ",16060,0.803,0.30300000000000005
 it ,3937,0.19685,0.30315000000000003
ess,3924,0.1962,0.30379999999999996
s th,3920,0.196,0.304
red ,3919,0.19595,0.30405
 at ,3919,0.19595,0.30405
he b,3917,0.19585,0.30415000000000003
ing a,3915,0.19575,0.30425
e r,3911,0.19555,0.30445
's,3907,0.19535,0.30465
s an,3865,0.19325,0.30674999999999997
e l,3863,0.19315,0.30685
rin,3861,0.19305,0.30695
ound,3838,0.1919,0.30810000000000004
 k,3826,0.1913,0.3087
rr,3819,0.19095,0.30905
 b,16183,0.80915,0.30915000000000004
but,3814,0.1907,0.3093
ted ,3814,0.1907,0.3093
 the,16187,0.80935,0.30935
's ,3799,0.18995,0.31005
nd th,3790,0.1895,0.3105
"t, ",3786,0.1893,0.3107
e of ,3759,0.18795,0.31205
. th,3741,0.18705,0.31295
t s,3738,0.1869,0.3131
had,3738,0.1869,0.3131
tl,3731,0.18655,0.31345
 thi,3724,0.1862,0.31379999999999997
y a,3717,0.18585,0.31415000000000004
ing t,3706,0.1853,0.3147
ds,3699,0.18495,0.31505
om ,3689,0.18445,0.31555
 tr,3689,0.18445,0.31555
ati,3673,0.18365,0.31635
ove,3669,0.18345,0.31655
rn,3667,0.18335,0.31665
the b,3659,0.18295,0.31705
cr,3650,0.1825,0.3175
oth,3649,0.18245,0.31755
all ,3646,0.1823,0.3177
a s,3641,0.18205,0.31795
men,3637,0.18185,0.31815
rs ,3625,0.18125,0.31875
ow ,3617,0.18085,0.31915
est,3617,0.18085,0.31915
int,3616,0.1808,0.31920000000000004
br,3587,0.17935,0.32065
to t,3586,0.1793,0.3207
on t,3566,0.1783,0.3217
 fi,3566,0.1783,0.3217
y t,3561,0.17805,0.32194999999999996
she,3561,0.17805,0.32194999999999996
 her,3558,0.1779,0.3221
 fa,3558,0.1779,0.3221
pp,3549,0.17745,0.32255
lu,3542,0.1771,0.32289999999999996
nd a,3533,0.17665,0.32335
but ,3515,0.17575,0.32425000000000004
 had,3508,0.1754,0.3246
din,3493,0.17465,0.32535000000000003
ak,3491,0.17455,0.32545
he ,16509,0.82545,0.32545
 not,3489,0.17445,0.32555
d to,3488,0.1744,0.3256
e wa,3488,0.1744,0.3256
ry ,3488,0.1744,0.3256
ill,3485,0.17425,0.32575
 ch,3464,0.1732,0.3268
had ,3463,0.17315,0.32685
ye,3453,0.17265,0.32735000000000003
ind,3452,0.1726,0.3274
 had ,3439,0.17195,0.32805
. the,3436,0.1718,0.3282
ting,3435,0.17175,0.32825
 le,3429,0.17145,0.32855
ex,3425,0.17125,0.32875
 pe,3425,0.17125,0.32875
s h,3418,0.1709,0.3291
fro,3415,0.17075,0.32925
 as ,3414,0.1707,0.32930000000000004
r.,3404,0.1702,0.3298
 go,3392,0.1696,0.3304
in a,3384,0.1692,0.3308
ore,3380,0.169,0.33099999999999996
ell,3378,0.1689,0.3311
o th,3378,0.1689,0.3311
ide,3373,0.16865,0.33135000000000003
e. ,3369,0.16845,0.33155
con,3363,0.16815,0.33185
et ,3363,0.16815,0.33185
s and,3353,0.16765,0.33235000000000003
 sta,3350,0.1675,0.3325
here ,3350,0.1675,0.3325
ht ,3346,0.1673,0.3327
e to,3342,0.1671,0.3329
ble,3338,0.1669,0.3331
by,3337,0.16685,0.33315
ci,3337,0.16685,0.33315
s a ,3335,0.16675,0.33325
e in,3332,0.1666,0.33340000000000003
ght ,3330,0.1665,0.3335
ue,3329,0.16645,0.33355
een,3325,0.16625,0.33375
mp,3323,0.16615,0.33385
 fro,3323,0.16615,0.33385
ion ,3319,0.16595,0.33405
the c,3314,0.1657,0.33430000000000004
"n,",3310,0.1655,0.3345
pi,3310,0.1655,0.3345
eat,3296,0.1648,0.3352
