word,conc
abstraction,0.13383838383838384
abstractionism,0.17929292929292928
abstractionist,0.37373737373737376
abstractive,0.14141414141414144
abstractly,0.08080808080808083
abstractness,0.11616161616161616
absurd,0.1515151515151515
absurdity,0.053030303030303025
absurdly,0.12878787878787878
absurdness,0.10606060606060605
abundance,0.2954545454545454
abundant,0.45202020202020204
abundantly,0.297979797979798
abuse,0.4217171717171717
abuser,0.712121212121212
abusive,0.38131313131313127
abusively,0.292929292929293
abusiveness,0.20202020202020204
abysmally,0.27272727272727276
abyss,0.5126262626262625
academia,0.27272727272727276
academic,0.27020202020202017
academically,0.21717171717171715
academy,0.8207070707070707
accelerant,0.5959595959595959
accelerate,0.6161616161616161
accelerated,0.5404040404040404
acceleration,0.4873737373737374
accelerative,0.41666666666666663
accelerator,0.8282828282828284
acceleratory,0.3055555555555555
accelerometer,0.7676767676767677
accent,0.5606060606060606
accentually,0.26262626262626265
accentuate,0.24242424242424243
accentuation,0.26262626262626265
accept,0.5025252525252525
acceptability,0.17676767676767677
acceptable,0.22474747474747472
acceptableness,0.06060606060606061
acceptably,0.1111111111111111
acceptance,0.2954545454545454
acceptant,0.26262626262626265
accepted,0.3131313131313131
acceptor,0.44191919191919193
access,0.4217171717171717
accessibility,0.3181818181818181
accessible,0.19191919191919193
accessibly,0.33080808080808083
accessorize,0.4772727272727273
accessory,0.7727272727272726
accident,0.5606060606060606
accidental,0.2853535353535353
accidentally,0.16919191919191917
accidently,0.2121212121212121
acclaim,0.25252525252525254
acclaimer,0.25252525252525254
acclamation,0.3005050505050505
acclimate,0.1893939393939394
acclimation,0.21717171717171715
acclimatization,0.1994949494949495
acclimatize,0.27272727272727276
accolade,0.35858585858585856
accommodate,0.2070707070707071
accommodating,0.18434343434343434
accommodatingly,0.2853535353535353
accommodation,0.48484848484848486
accommodative,0.17424242424242423
accommodator,0.43939393939393934
accompanier,0.4217171717171717
accompaniment,0.308080808080808
accompany,0.5126262626262625
accomplice,0.5808080808080808
accomplish,0.32575757575757575
accomplishable,0.196969696969697
accomplished,0.16666666666666666
accomplisher,0.37373737373737376
accomplishment,0.3686868686868687
accord,0.13383838383838384
accordance,0.12626262626262627
accordantly,0.13383838383838384
according,0.14898989898989895
accordingly,0.13636363636363638
accordion,0.9646464646464648
accordionist,0.9015151515151516
accosted,0.37373737373737376
account,0.5151515151515151
accountability,0.12878787878787878
